id,title,link,image,tag,preview,author,timestamp
12,"Người đàn ông 35 tuổi hiến trái tim, da, thận, giác mạc cứu 6 người",https://zingnews.vn/nguoi-dan-ong-35-tuoi-hien-trai-tim-da-than-giac-mac-cuu-6-nguoi-post1406972.html,https://znews-photo.zingcdn.me/w360/Uploaded/gtnvzv/2023_02_26/ghep_tang_cho_ray_2_1.jpg,SỨC KHỎE,"Chứng kiến con trai không qua khỏi, mẹ của bệnh nhân 35 tuổi, trú tại An Giang, quyết định hiến tặng các tạng còn chức năng hoạt động của con để cứu sống những người khác.",Phương Anh,27/2/2023 05:30 (GMT+7)
13,"Inter ngã ngựa, Napoli tiến gần chức vô địch Serie A sau 33 năm",https://zingnews.vn/inter-nga-ngua-napoli-tien-gan-chuc-vo-dich-serie-a-sau-33-nam-post1406993.html,https://znews-photo.zingcdn.me/w360/Uploaded/natmzz/2023_02_26/2023_02_26T125307Z_1151946948_UP1EJ2Q0ZSG3H_RTRMADP_3_SOCCER_ITALY_BGN_INT_REPORT.JPG,THỂ THAO,"Tối 26/2 (giờ Hà Nội), Inter thua Bologna 0-1 và bị Napoli bỏ xa 18 điểm trên bảng xếp hạng Serie A sau 24 vòng đấu.",Tuấn Nguyên,26/2/2023 22:13 (GMT+7)
14,Bộ Nông nghiệp cảnh báo sau khi Campuchia có người tử vong vì H5N1,https://zingnews.vn/bo-nong-nghiep-canh-bao-sau-khi-campuchia-co-nguoi-tu-vong-vi-h5n1-post1406948.html,https://znews-photo.zingcdn.me/w360/Uploaded/rohuoct/2023_02_26/namkhanh.jpg,KINH DOANH,Bộ Nông nghiệp và Phát triển nông thôn vừa ra công điện khẩn sau khi truyền thông Campuchia cho biết đã phát hiện ca tử vong trên người do virus cúm gia cầm A/H5N1.,Minh Khánh,26/2/2023 19:59 (GMT+7)
15,Phản ứng của HLV Ten Hag khi được hỏi về Mbappe,https://zingnews.vn/phan-ung-cua-hlv-ten-hag-khi-duoc-hoi-ve-mbappe-post1406892.html,https://znews-photo.zingcdn.me/w360/Uploaded/natmzz/2023_02_26/2023_02_01T215646Z_1167426497_UP1EJ211OYKGZ_RTRMADP_3_SOCCER_ENGLAND_MUN_NTG_REPORT_1_.JPG,THỂ THAO,Nhà cầm quân sinh năm 1970 tỏ rõ sự bất ngờ với câu hỏi liên quan đến cầu thủ đang được định giá cao nhất thế giới.,Tuấn Nguyên,26/2/2023 17:40 (GMT+7)
16,Triết lý 'phản Italy' đưa Napoli bay cao,https://zingnews.vn/triet-ly-phan-italy-dua-napoli-bay-cao-post1406851.html,https://znews-photo.zingcdn.me/w360/Uploaded/yrfjpyvslyr/2023_02_26/2023_02_25T174616Z_1659718282_UP1EJ2P1DD2YI_RTRMADP_3_SOCCER_ITALY_EMP_NAP_REPORT.JPG,THỂ THAO,Napoli đang là CLB Italy chơi thứ bóng đá duy mỹ nhất trong nhiều năm qua. Và triết lý xuyên suốt thành công ấy lại đi ngược lại với truyền thống phòng ngự của xứ sở mỳ ống.,Duy Kiên,26/2/2023 16:40 (GMT+7)
17,Những người ở TP.HCM được lấy mẫu xét nghiệm cúm A H5N1,https://zingnews.vn/nhung-nguoi-o-tphcm-duoc-lay-mau-xet-nghiem-cum-a-h5n1-post1405908.html,https://znews-photo.zingcdn.me/w360/Uploaded/rotnrz/2023_02_17/tim_nicholson_bird_flu_1.jpg,SỨC KHỎE,"TP.HCM lo lắng nguy cơ xâm nhập của cúm A (H5N1) và cúm gia cầm khác thông qua các hoạt động vận chuyển, kinh doanh gia cầm trái phép.",Bích Huệ,26/2/2023 16:10 (GMT+7)
18,Gelex lên tiếng trước loạt tin đồn,https://zingnews.vn/gelex-len-tieng-truoc-loat-tin-don-post1406894.html,https://znews-photo.zingcdn.me/w360/Uploaded/rohuoct/2023_02_26/dsc01530_16773293148831832806342.jpg,KINH DOANH,Công ty CP Tập đoàn Gelex (GEX) vừa lên tiếng bác bỏ các thông tin thất thiệt thời gian qua và khuyến cáo nhà đầu tư thận trọng.,Minh Khánh,26/2/2023 14:04 (GMT+7)
19,Công thức bí ẩn tạo nên danh sách 'Sách bán chạy nhất',https://zingnews.vn/cong-thuc-bi-an-tao-nen-danh-sach-sach-ban-chay-nhat-post1406687.html,https://znews-photo.zingcdn.me/w360/Uploaded/kbvunao/2023_02_25/istockphoto_153773919_612x612.jpg,XUẤT BẢN,"Những người trong ngành xuất bản giải thích vì sao họ thấy khó chịu với danh sách sách bán chạy nhất của New York Times, hóa ra, danh sách này là một dự án dữ liệu đầy mâu thuẫn.",Thái Thanh,26/2/2023 13:18 (GMT+7)
20,Đề xuất cho chủ đầu tư thỏa thuận về quyền sử dụng đất với người dân,https://zingnews.vn/de-xuat-cho-chu-dau-tu-thoa-thuan-ve-quyen-su-dung-dat-voi-nguoi-dan-post1406838.html,https://znews-photo.zingcdn.me/w360/Uploaded/rohuoct/2023_02_26/1.jpg,KINH DOANH,"HoREA vừa gửi góp ý Dự thảo Luật Đất đai (sửa đổi), trong đó đề nghị một số vấn đề liên quan dự án công trình để phát triển kinh tế - xã hội vì lợi ích quốc gia, công cộng.",Minh Khánh,26/2/2023 11:42 (GMT+7)
21,Kỷ nguyên hack bằng trí tuệ nhân tạo đang đến gần,https://zingnews.vn/ky-nguyen-hack-bang-tri-tue-nhan-tao-dang-den-gan-post1405412.html,https://znews-photo.zingcdn.me/w360/Uploaded/cplahuo/2023_02_21/snatch_el_ransomware_que_reinicia_tu_pc_en_modo_seguro_y_se_salta_el_antivirus_redes_zone_portal_sobre_telecomunicaciones_y_redes.jpg,,Chúng ta cần chuẩn bị kỹ lưỡng để đối phó với mối hiểm họa tiềm tàng mới mang tên trí tuệ nhân tạo.,Việt Anh,
